Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Year,EventName,SessionName,EventFormat,RoundNumber
0 days 00:22:25.214000,26.1,35.8,1019.7,False,40.7,319,1.7,2018,Australian Grand Prix,FP1,conventional,1
0 days 00:23:25.222000,26.2,35.0,1019.7,False,40.7,294,1.4,2018,Australian Grand Prix,FP1,conventional,1
0 days 00:24:25.233000,26.2,35.9,1019.6,False,40.8,289,1.5,2018,Australian Grand Prix,FP1,conventional,1
0 days 00:25:25.244000,26.4,34.2,1019.5,False,40.7,328,2.4,2018,Australian Grand Prix,FP1,conventional,1
0 days 00:26:25.254000,26.2,34.4,1019.5,False,40.7,300,3.2,2018,Australian Grand Prix,FP1,conventional,1
0 days 00:27:25.265000,26.2,34.5,1019.6,False,40.9,300,2.8,2018,Australian Grand Prix,FP1,conventional,1
0 days 00:28:25.278000,26.2,35.4,1019.5,False,41.0,300,2.0,2018,Australian Grand Prix,FP1,conventional,1
0 days 00:29:25.287000,26.2,35.2,1019.6,False,41.2,324,1.7,2018,Australian Grand Prix,FP1,conventional,1
0 days 00:30:25.299000,26.3,34.2,1019.4,False,41.4,295,1.3,2018,Australian Grand Prix,FP1,conventional,1
0 days 00:31:25.309000,26.3,35.0,1019.4,False,41.4,269,1.6,2018,Australian Grand Prix,FP1,conventional,1
0 days 00:32:25.320000,26.5,34.2,1019.5,False,41.4,333,2.5,2018,Australian Grand Prix,FP1,conventional,1
0 days 00:33:25.329000,26.5,33.6,1019.5,False,41.3,299,2.3,2018,Australian Grand Prix,FP1,conventional,1
0 days 00:34:25.340000,26.5,33.8,1019.4,False,41.3,341,1.7,2018,Australian Grand Prix,FP1,conventional,1
0 days 00:35:25.350000,26.5,34.0,1019.4,False,41.6,319,0.7,2018,Australian Grand Prix,FP1,conventional,1
0 days 00:36:25.362000,26.7,33.4,1019.4,False,41.8,356,1.2,2018,Australian Grand Prix,FP1,conventional,1
0 days 00:37:25.380000,26.9,34.6,1019.3,False,41.8,317,1.3,2018,Australian Grand Prix,FP1,conventional,1
0 days 00:38:25.383000,26.8,33.5,1019.3,False,41.8,324,2.6,2018,Australian Grand Prix,FP1,conventional,1
0 days 00:39:25.394000,26.7,33.7,1019.3,False,41.8,238,2.2,2018,Australian Grand Prix,FP1,conventional,1
0 days 00:40:25.404000,26.6,34.6,1019.4,False,41.8,337,1.0,2018,Australian Grand Prix,FP1,conventional,1
0 days 00:41:25.614000,26.5,33.9,1019.3,False,42.0,327,1.6,2018,Australian Grand Prix,FP1,conventional,1
0 days 00:42:25.640000,26.5,34.8,1019.4,False,42.2,328,0.8,2018,Australian Grand Prix,FP1,conventional,1
0 days 00:43:26.048000,26.7,33.9,1019.2,False,42.3,338,0.9,2018,Australian Grand Prix,FP1,conventional,1
0 days 00:44:25.456000,26.7,33.4,1019.3,False,42.4,291,2.0,2018,Australian Grand Prix,FP1,conventional,1
0 days 00:45:25.471000,26.7,33.5,1019.2,False,42.1,303,3.0,2018,Australian Grand Prix,FP1,conventional,1
0 days 00:46:25.486000,26.5,34.5,1019.2,False,42.1,304,2.3,2018,Australian Grand Prix,FP1,conventional,1
0 days 00:47:25.500000,26.5,35.0,1019.3,False,42.3,329,1.9,2018,Australian Grand Prix,FP1,conventional,1
0 days 00:48:25.517000,26.4,34.6,1019.2,False,42.5,268,2.6,2018,Australian Grand Prix,FP1,conventional,1
0 days 00:49:25.533000,26.4,34.6,1019.1,False,42.6,329,1.8,2018,Australian Grand Prix,FP1,conventional,1
0 days 00:50:25.548000,26.5,34.6,1019.1,False,42.6,315,1.8,2018,Australian Grand Prix,FP1,conventional,1
0 days 00:51:25.562000,26.7,33.8,1019.0,False,42.5,298,1.8,2018,Australian Grand Prix,FP1,conventional,1
0 days 00:52:25.580000,26.8,33.6,1019.0,False,42.5,293,2.3,2018,Australian Grand Prix,FP1,conventional,1
0 days 00:53:25.593000,26.9,33.1,1019.0,False,42.6,302,3.4,2018,Australian Grand Prix,FP1,conventional,1
0 days 00:54:25.608000,26.8,33.3,1019.0,False,42.7,329,3.5,2018,Australian Grand Prix,FP1,conventional,1
0 days 00:55:25.624000,26.6,33.3,1019.0,False,42.9,334,1.7,2018,Australian Grand Prix,FP1,conventional,1
0 days 00:56:25.640000,26.9,33.7,1019.0,False,43.3,302,1.4,2018,Australian Grand Prix,FP1,conventional,1
0 days 00:57:25.654000,27.1,34.0,1019.1,False,43.6,326,1.6,2018,Australian Grand Prix,FP1,conventional,1
0 days 00:58:25.671000,27.0,33.7,1019.0,False,43.6,331,1.7,2018,Australian Grand Prix,FP1,conventional,1
0 days 00:59:25.689000,27.1,33.7,1019.0,False,43.6,291,1.5,2018,Australian Grand Prix,FP1,conventional,1
0 days 01:00:25.708000,27.1,33.7,1019.0,False,43.6,291,1.5,2018,Australian Grand Prix,FP1,conventional,1
0 days 01:01:25.784000,27.4,32.4,1018.9,False,43.7,313,2.0,2018,Australian Grand Prix,FP1,conventional,1
0 days 01:02:25.734000,27.5,32.7,1018.9,False,43.7,340,1.8,2018,Australian Grand Prix,FP1,conventional,1
0 days 01:03:25.845000,27.3,33.0,1018.9,False,43.7,323,1.0,2018,Australian Grand Prix,FP1,conventional,1
0 days 01:03:42.426000,27.3,33.0,1018.9,False,43.7,323,1.0,2018,Australian Grand Prix,FP1,conventional,1
0 days 01:04:25.891000,27.3,33.0,1018.9,False,43.7,323,1.0,2018,Australian Grand Prix,FP1,conventional,1
0 days 01:05:25.787000,27.2,32.9,1018.8,False,43.9,268,2.9,2018,Australian Grand Prix,FP1,conventional,1
0 days 01:06:25.809000,27.2,32.9,1018.7,False,43.9,283,2.4,2018,Australian Grand Prix,FP1,conventional,1
